"Unique identification number of the institution","Level of student","Level of student (original line number on survey form)","Attendance status of student","Level of student","Nonresident alien men","Nonresident alien women","OLD - Black non-Hispanic men","OLD - Black non-Hispanic women","OLD - American Indian or Alaska Native men","OLD - American Indian or Alaska Native women","OLD - Asian or Pacific Islander men","OLD - Asian or Pacific Islander women","OLD - Hispanic men","OLD - Hispanic women","OLD - White non-Hispanic men","OLD - White non-Hispanic women","Race/ethnicity unknown men","Race/ethnicity unknown women","Grand total men","Grand total women","Nonresident alien total","OLD - Black non-Hispanic total","OLD - American Indian or Alaska Native total","OLD - Asian or Pacific Islander total","OLD - Hispanic total","OLD - White non-Hispanic total","Race/ethnicity unknown total","Grand total","Hispanic men","Hispanic women","American Indian or Alaska Native men","American Indian or Alaska Native women","Asian men","Asian women","Black or African American men","Black or African American women","Native Hawaiian or Other Pacific Islander men","Native Hawaiian or Other Pacific Islander women","White men","White women","Two or more races men","Two or more races women","Hispanic total","American Indian or Alaska Native total","Asian total","Black or African American total","Native Hawaiian or Other Pacific Islander total","White total","Two or more races total","DERIVED - American Indian or Alaska Native total","DERIVED - American Indian or Alaska Native men","DERIVED - American Indian or Alaska Native women","DERIVED - Asian/Native Hawaiian/Other Pacific Islander total","DERIVED - Asian/Native Hawaiian/Other Pacific Islander men","DERIVED - Asian/Native Hawaiian/Other Pacific Islander women","DERIVED - Black or African American/Black non-Hispanic total","DERIVED - Black or African American/Black non-Hispanic men","DERIVED - Black or African American/Black non-Hispanic women","DERIVED - Hispanic or Latino/Hispanic total","DERIVED - Hispanic or Latino/Hispanic men","DERIVED - Hispanic or Latino/Hispanic women","DERIVED - White/White non-Hispanic total","DERIVED - White/White non-Hispanic men","DERIVED - White/White non-Hispanic women","FY","Fall","Institution_Name","EFALevel_desc","Line_desc","Section_desc","LStudy_desc"
"167358","5","99","3","1"," 595"," 489","362"," 553"," 22"," 36"," 541"," 632","355"," 411","3994","4089","1608","1745"," 7477"," 7955","1084"," 915"," 58","1173"," 766"," 8083","3353","15432",,,,,,,,,,,,,,,,,,,,,," 58"," 22"," 36","1173"," 541"," 632"," 915","362"," 553"," 766","355"," 411"," 8083","3994","4089","2010","2009","Northeastern University","All students, Undergraduate, Other degree/certificate-seeking","Generated record not on original survey","All students","Undergraduate"
"167358","11","99","3","1"," 230"," 168","  1","   0","  0","  0","   6","   1","  0","   3","  21","  40","  17","  30","  275","  242"," 398","   1","  0","   7","   3","   61","  47","  517",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0","   7","   6","   1","   1","  1","   0","   3","  0","   3","   61","  21","  40","2010","2009","Northeastern University","All students, Undergraduate, Non-degree/certificate-seeking","Generated record not on original survey","All students","Undergraduate"
"167358","12","99","3","3","1165"," 801","141"," 268"," 10"," 14"," 142"," 209","109"," 148","1515","2054","1029","1150"," 4111"," 4644","1966"," 409"," 24"," 351"," 257"," 3569","2179"," 8755",,,,,,,,,,,,,,,,,,,,,," 24"," 10"," 14"," 351"," 142"," 209"," 409","141"," 268"," 257","109"," 148"," 3569","1515","2054","2010","2009","Northeastern University","All students, Graduate","Generated record not on original survey","All students","Graduate"
"167358","19","99","3","1","  62","  52","  3","   8","  1","  0","  19","  18"," 10","  19"," 108"," 131","  85","  73","  288","  301"," 114","  11","  1","  37","  29","  239"," 158","  589",,,,,,,,,,,,,,,,,,,,,,"  1","  1","  0","  37","  19","  18","  11","  3","   8","  29"," 10","  19","  239"," 108"," 131","2010","2009","Northeastern University","All students, Undergraduate, Other degree/certifcate-seeking, Transfer-ins","Generated record not on original survey","All students","Undergraduate"
"167358","20","99","3","1"," 533"," 437","359"," 545"," 21"," 36"," 522"," 614","345"," 392","3886","3958","1523","1672"," 7189"," 7654"," 970"," 904"," 57","1136"," 737"," 7844","3195","14843",,,,,,,,,,,,,,,,,,,,,," 57"," 21"," 36","1136"," 522"," 614"," 904","359"," 545"," 737","345"," 392"," 7844","3886","3958","2010","2009","Northeastern University","All students, Undergraduate, Other degree/certifcate-seeking, Continuing","Generated record not on original survey","All students","Undergraduate"
"167358","21","14","1","4","1812","1286","334"," 487"," 24"," 40"," 693"," 807","415"," 486","4692","4858","2054","2356","10024","10320","3098"," 821"," 64","1500"," 901"," 9550","4410","20344",,,,,,,,,,,,,,,,,,,,,," 64"," 24"," 40","1500"," 693"," 807"," 821","334"," 487"," 901","415"," 486"," 9550","4692","4858","2010","2009","Northeastern University","Full-time students total","Total full-time students","Full-time","All students"
"167358","22","8","1","1"," 854"," 725","296"," 408"," 19"," 31"," 640"," 711","368"," 408","4107","4042","1734","1844"," 8018"," 8169","1579"," 704"," 50","1351"," 776"," 8149","3578","16187",,,,,,,,,,,,,,,,,,,,,," 50"," 19"," 31","1351"," 640"," 711"," 704","296"," 408"," 776","368"," 408"," 8149","4107","4042","2010","2009","Northeastern University","Full-time students, Undergraduate total","Total  full-time undergraduates","Full-time","Undergraduate"
"167358","23","6","1","1"," 624"," 557","295"," 408"," 19"," 31"," 634"," 710","368"," 406","4087","4004","1724","1832"," 7751"," 7948","1181"," 703"," 50","1344"," 774"," 8091","3556","15699",,,,,,,,,,,,,,,,,,,,,," 50"," 19"," 31","1344"," 634"," 710"," 703","295"," 408"," 774","368"," 406"," 8091","4087","4004","2010","2009","Northeastern University","Full-time students, Undergraduate, Degree/certificate-seeking total","Full-time degree-seeking undergraduates, total","Full-time","Undergraduate"
"167358","24","1","1","1"," 125"," 138"," 44","  69","  3","  4"," 147"," 148"," 74","  82"," 648"," 623"," 374"," 354"," 1415"," 1418"," 263"," 113","  7"," 295"," 156"," 1271"," 728"," 2833",,,,,,,,,,,,,,,,,,,,,,"  7","  3","  4"," 295"," 147"," 148"," 113"," 44","  69"," 156"," 74","  82"," 1271"," 648"," 623","2010","2009","Northeastern University","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","Full-time, first-time, first-year, degree-seeking undergraduates","Full-time","Undergraduate"
"167358","25","99","1","1"," 499"," 419","251"," 339"," 16"," 27"," 487"," 562","294"," 324","3439","3381","1350","1478"," 6336"," 6530"," 918"," 590"," 43","1049"," 618"," 6820","2828","12866",,,,,,,,,,,,,,,,,,,,,," 43"," 16"," 27","1049"," 487"," 562"," 590","251"," 339"," 618","294"," 324"," 6820","3439","3381","2010","2009","Northeastern University","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Generated record not on original survey","Full-time","Undergraduate"
"167358","31","7","1","1"," 230"," 168","  1","   0","  0","  0","   6","   1","  0","   2","  20","  38","  10","  12","  267","  221"," 398","   1","  0","   7","   2","   58","  22","  488",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0","   7","   6","   1","   1","  1","   0","   2","  0","   2","   58","  20","  38","2010","2009","Northeastern University","Full-time students, Undergraduate, Non-degree/certificate-seeking","Full-time nondegree-seeking undergraduates","Full-time","Undergraduate"
"167358","32","11","1","3"," 958"," 561"," 38","  79","  5","  9","  53","  96"," 47","  78"," 585"," 816"," 320"," 512"," 2006"," 2151","1519"," 117"," 14"," 149"," 125"," 1401"," 832"," 4157",,,,,,,,,,,,,,,,,,,,,," 14","  5","  9"," 149","  53","  96"," 117"," 38","  79"," 125"," 47","  78"," 1401"," 585"," 816","2010","2009","Northeastern University","Full-time students, Graduate","Full-time graduates","Full-time","Graduate"
"167358","39","2","1","1","  62","  52","  3","   8","  1","  0","  19","  18"," 10","  19"," 108"," 131","  85","  73","  288","  301"," 114","  11","  1","  37","  29","  239"," 158","  589",,,,,,,,,,,,,,,,,,,,,,"  1","  1","  0","  37","  19","  18","  11","  3","   8","  29"," 10","  19","  239"," 108"," 131","2010","2009","Northeastern University","Full-time students, Undergraduate, Other degree/certifcate-seeking, Transfer-ins","Full-time undergraduate, other degree/certifcate-seeking, transfer-ins","Full-time","Undergraduate"
"167358","40","3","1","1"," 437"," 367","248"," 331"," 15"," 27"," 468"," 544","284"," 305","3331","3250","1265","1405"," 6048"," 6229"," 804"," 579"," 42","1012"," 589"," 6581","2670","12277",,,,,,,,,,,,,,,,,,,,,," 42"," 15"," 27","1012"," 468"," 544"," 579","248"," 331"," 589","284"," 305"," 6581","3331","3250","2010","2009","Northeastern University","Full-time students, Undergraduate, Other degree/certifcate-seeking, Continuing","Full-time  undergraduate, other degree/certifcate-seeking, continuing","Full-time","Undergraduate"
"167358","41","28","2","4"," 303"," 310","214"," 403"," 11"," 14"," 143"," 183","123"," 158","1486","1948"," 974"," 923"," 3254"," 3939"," 613"," 617"," 25"," 326"," 281"," 3434","1897"," 7193",,,,,,,,,,,,,,,,,,,,,," 25"," 11"," 14"," 326"," 143"," 183"," 617","214"," 403"," 281","123"," 158"," 3434","1486","1948","2010","2009","Northeastern University","Part-time students total","Total part-time","Part-time","All students"
"167358","42","22","2","1","  96","  70","111"," 214","  6","  9","  54","  70"," 61","  88"," 556"," 710"," 265"," 285"," 1149"," 1446"," 166"," 325"," 15"," 124"," 149"," 1266"," 550"," 2595",,,,,,,,,,,,,,,,,,,,,," 15","  6","  9"," 124","  54","  70"," 325","111"," 214"," 149"," 61","  88"," 1266"," 556"," 710","2010","2009","Northeastern University","Part-time students, Undergraduate total","Total part-time undergraduates","Part-time","Undergraduate"
"167358","43","20","2","1","  96","  70","111"," 214","  6","  9","  54","  70"," 61","  87"," 555"," 708"," 258"," 267"," 1141"," 1425"," 166"," 325"," 15"," 124"," 148"," 1263"," 525"," 2566",,,,,,,,,,,,,,,,,,,,,," 15","  6","  9"," 124","  54","  70"," 325","111"," 214"," 148"," 61","  87"," 1263"," 555"," 708","2010","2009","Northeastern University","Part-time students, Undergraduate, Degree/certificate-seeking total","Part-time degree-seeking undergraduates, total","Part-time","Undergraduate"
"167358","45","99","2","1","  96","  70","111"," 214","  6","  9","  54","  70"," 61","  87"," 555"," 708"," 258"," 267"," 1141"," 1425"," 166"," 325"," 15"," 124"," 148"," 1263"," 525"," 2566",,,,,,,,,,,,,,,,,,,,,," 15","  6","  9"," 124","  54","  70"," 325","111"," 214"," 148"," 61","  87"," 1263"," 555"," 708","2010","2009","Northeastern University","Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Generated record not on original survey","Part-time","Undergraduate"
"167358","51","21","2","1","   0","   0","  0","   0","  0","  0","   0","   0","  0","   1","   1","   2","   7","  18","    8","   21","   0","   0","  0","   0","   1","    3","  25","   29",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0","   0","   0","   0","   0","  0","   0","   1","  0","   1","    3","   1","   2","2010","2009","Northeastern University","Part-time students, Undergraduate, Non-degree/certificate-seeking","Part-time nondegree-seeking undergraduates","Part-time","Undergraduate"
"167358","52","25","2","3"," 207"," 240","103"," 189","  5","  5","  89"," 113"," 62","  70"," 930","1238"," 709"," 638"," 2105"," 2493"," 447"," 292"," 10"," 202"," 132"," 2168","1347"," 4598",,,,,,,,,,,,,,,,,,,,,," 10","  5","  5"," 202","  89"," 113"," 292","103"," 189"," 132"," 62","  70"," 2168"," 930","1238","2010","2009","Northeastern University","Part-time students, Graduate","Part-time graduates","Part-time","Graduate"
"167358","60","17","2","1","  96","  70","111"," 214","  6","  9","  54","  70"," 61","  87"," 555"," 708"," 258"," 267"," 1141"," 1425"," 166"," 325"," 15"," 124"," 148"," 1263"," 525"," 2566",,,,,,,,,,,,,,,,,,,,,," 15","  6","  9"," 124","  54","  70"," 325","111"," 214"," 148"," 61","  87"," 1263"," 555"," 708","2010","2009","Northeastern University","Part-time students, Undergraduate, Other degree/certifcate-seeking, Continuing","Part-time undergraduate, other degree/certifcate-seeking, continuing","Part-time","Undergraduate"
"168148","1","29","3","4"," 492"," 516",,,,,,,,,,," 634"," 819"," 4680"," 5572","1008",,,,,,"1453","10252","193","296"," 6","15","543","619","140","228"," 7","10","2621","2977"," 44"," 92","489","21","1162","368","17","5598","136"," 21","  6"," 15","1179"," 550"," 629"," 368","140"," 228"," 489","193"," 296"," 5598","2621","2977","2010","2009","Tufts University","All students total","Total enrollment","All students","All students"
"168148","2","99","3","1"," 148"," 155",,,,,,,,,,," 295"," 322"," 2507"," 2657"," 303",,,,,," 617"," 5164","120","192"," 2","10","285","330"," 90","146"," 3"," 2","1539","1446"," 25"," 54","312","12"," 615","236"," 5","2985"," 79"," 12","  2"," 10"," 620"," 288"," 332"," 236"," 90"," 146"," 312","120"," 192"," 2985","1539","1446","2010","2009","Tufts University","All students, Undergraduate total","Generated record not on original survey","All students","Undergraduate"
"168148","3","99","3","1"," 148"," 155",,,,,,,,,,," 290"," 310"," 2502"," 2644"," 303",,,,,," 600"," 5146","120","192"," 2","10","285","330"," 90","146"," 3"," 2","1539","1445"," 25"," 54","312","12"," 615","236"," 5","2984"," 79"," 12","  2"," 10"," 620"," 288"," 332"," 236"," 90"," 146"," 312","120"," 192"," 2984","1539","1445","2010","2009","Tufts University","All students, Undergraduate, Degree/certificate-seeking total","Generated record not on original survey","All students","Undergraduate"
"168148","4","99","3","1","  45","  45",,,,,,,,,,,"  75","  71","  637","  675","  90",,,,,," 146"," 1312"," 20"," 49"," 0"," 1"," 74"," 83"," 25"," 23"," 0"," 1"," 395"," 388","  3"," 14"," 69"," 1"," 157"," 48"," 1"," 783"," 17","  1","  0","  1"," 158","  74","  84","  48"," 25","  23","  69"," 20","  49","  783"," 395"," 388","2010","2009","Tufts University","All students, Undergraduate, Degree/certificate-seeking, First-time","Generated record not on original survey","All students","Undergraduate"
"168148","5","99","3","1"," 103"," 110",,,,,,,,,,," 215"," 239"," 1865"," 1969"," 213",,,,,," 454"," 3834","100","143"," 2"," 9","211","247"," 65","123"," 3"," 1","1144","1057"," 22"," 40","243","11"," 458","188"," 4","2201"," 62"," 11","  2","  9"," 462"," 214"," 248"," 188"," 65"," 123"," 243","100"," 143"," 2201","1144","1057","2010","2009","Tufts University","All students, Undergraduate, Other degree/certificate-seeking","Generated record not on original survey","All students","Undergraduate"
"168148","11","99","3","1","   0","   0",,,,,,,,,,,"   5","  12","    5","   13","   0",,,,,,"  17","   18","  0","  0"," 0"," 0","  0","  0","  0","  0"," 0"," 0","   0","   1","  0","  0","  0"," 0","   0","  0"," 0","   1","  0","  0","  0","  0","   0","   0","   0","   0","  0","   0","   0","  0","   0","    1","   0","   1","2010","2009","Tufts University","All students, Undergraduate, Non-degree/certificate-seeking","Generated record not on original survey","All students","Undergraduate"
"168148","12","99","3","3"," 344"," 361",,,,,,,,,,," 339"," 497"," 2173"," 2915"," 705",,,,,," 836"," 5088"," 73","104"," 4"," 5","258","289"," 50"," 82"," 4"," 8","1082","1531"," 19"," 38","177"," 9"," 547","132","12","2613"," 57","  9","  4","  5"," 559"," 262"," 297"," 132"," 50","  82"," 177"," 73"," 104"," 2613","1082","1531","2010","2009","Tufts University","All students, Graduate","Generated record not on original survey","All students","Graduate"
"168148","19","99","3","1","   2","   7",,,,,,,,,,,"   8","   8","   35","   36","   9",,,,,,"  16","   71","  2","  3"," 0"," 0","  5","  3","  2","  0"," 0"," 0","  16","  14","  0","  1","  5"," 0","   8","  2"," 0","  30","  1","  0","  0","  0","   8","   5","   3","   2","  2","   0","   5","  2","   3","   30","  16","  14","2010","2009","Tufts University","All students, Undergraduate, Other degree/certifcate-seeking, Transfer-ins","Generated record not on original survey","All students","Undergraduate"
"168148","20","99","3","1"," 101"," 103",,,,,,,,,,," 207"," 231"," 1830"," 1933"," 204",,,,,," 438"," 3763"," 98","140"," 2"," 9","206","244"," 63","123"," 3"," 1","1128","1043"," 22"," 39","238","11"," 450","186"," 4","2171"," 61"," 11","  2","  9"," 454"," 209"," 245"," 186"," 63"," 123"," 238"," 98"," 140"," 2171","1128","1043","2010","2009","Tufts University","All students, Undergraduate, Other degree/certifcate-seeking, Continuing","Generated record not on original survey","All students","Undergraduate"
"168148","21","14","1","4"," 470"," 498",,,,,,,,,,," 530"," 599"," 4339"," 5058"," 968",,,,,,"1129"," 9397","186","280"," 5","14","515","591","129","216"," 7"," 9","2454","2759"," 43"," 92","466","19","1106","345","16","5213","135"," 19","  5"," 14","1122"," 522"," 600"," 345","129"," 216"," 466","186"," 280"," 5213","2454","2759","2010","2009","Tufts University","Full-time students total","Total full-time students","Full-time","All students"
"168148","22","8","1","1"," 145"," 155",,,,,,,,,,," 285"," 311"," 2483"," 2628"," 300",,,,,," 596"," 5111","120","190"," 2","10","282","326"," 90","145"," 3"," 2","1532","1435"," 24"," 54","310","12"," 608","235"," 5","2967"," 78"," 12","  2"," 10"," 613"," 285"," 328"," 235"," 90"," 145"," 310","120"," 190"," 2967","1532","1435","2010","2009","Tufts University","Full-time students, Undergraduate total","Total  full-time undergraduates","Full-time","Undergraduate"
"168148","23","6","1","1"," 145"," 155",,,,,,,,,,," 285"," 309"," 2483"," 2626"," 300",,,,,," 594"," 5109","120","190"," 2","10","282","326"," 90","145"," 3"," 2","1532","1435"," 24"," 54","310","12"," 608","235"," 5","2967"," 78"," 12","  2"," 10"," 613"," 285"," 328"," 235"," 90"," 145"," 310","120"," 190"," 2967","1532","1435","2010","2009","Tufts University","Full-time students, Undergraduate, Degree/certificate-seeking total","Full-time degree-seeking undergraduates, total","Full-time","Undergraduate"
"168148","24","1","1","1","  45","  45",,,,,,,,,,,"  75","  71","  636","  673","  90",,,,,," 146"," 1309"," 20"," 48"," 0"," 1"," 74"," 82"," 25"," 23"," 0"," 1"," 394"," 388","  3"," 14"," 68"," 1"," 156"," 48"," 1"," 782"," 17","  1","  0","  1"," 157","  74","  83","  48"," 25","  23","  68"," 20","  48","  782"," 394"," 388","2010","2009","Tufts University","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","Full-time, first-time, first-year, degree-seeking undergraduates","Full-time","Undergraduate"
"168148","25","99","1","1"," 100"," 110",,,,,,,,,,," 210"," 238"," 1847"," 1953"," 210",,,,,," 448"," 3800","100","142"," 2"," 9","208","244"," 65","122"," 3"," 1","1138","1047"," 21"," 40","242","11"," 452","187"," 4","2185"," 61"," 11","  2","  9"," 456"," 211"," 245"," 187"," 65"," 122"," 242","100"," 142"," 2185","1138","1047","2010","2009","Tufts University","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Generated record not on original survey","Full-time","Undergraduate"
"168148","31","7","1","1","   0","   0",,,,,,,,,,,"   0","   2","    0","    2","   0",,,,,,"   2","    2","  0","  0"," 0"," 0","  0","  0","  0","  0"," 0"," 0","   0","   0","  0","  0","  0"," 0","   0","  0"," 0","   0","  0","  0","  0","  0","   0","   0","   0","   0","  0","   0","   0","  0","   0","    0","   0","   0","2010","2009","Tufts University","Full-time students, Undergraduate, Non-degree/certificate-seeking","Full-time nondegree-seeking undergraduates","Full-time","Undergraduate"
"168148","32","11","1","3"," 325"," 343",,,,,,,,,,," 245"," 288"," 1856"," 2430"," 668",,,,,," 533"," 4286"," 66"," 90"," 3"," 4","233","265"," 39"," 71"," 4"," 7"," 922","1324"," 19"," 38","156"," 7"," 498","110","11","2246"," 57","  7","  3","  4"," 509"," 237"," 272"," 110"," 39","  71"," 156"," 66","  90"," 2246"," 922","1324","2010","2009","Tufts University","Full-time students, Graduate","Full-time graduates","Full-time","Graduate"
"168148","39","2","1","1","   2","   7",,,,,,,,,,,"   8","   8","   35","   35","   9",,,,,,"  16","   70","  2","  3"," 0"," 0","  5","  3","  2","  0"," 0"," 0","  16","  13","  0","  1","  5"," 0","   8","  2"," 0","  29","  1","  0","  0","  0","   8","   5","   3","   2","  2","   0","   5","  2","   3","   29","  16","  13","2010","2009","Tufts University","Full-time students, Undergraduate, Other degree/certifcate-seeking, Transfer-ins","Full-time undergraduate, other degree/certifcate-seeking, transfer-ins","Full-time","Undergraduate"
"168148","40","3","1","1","  98"," 103",,,,,,,,,,," 202"," 230"," 1812"," 1918"," 201",,,,,," 432"," 3730"," 98","139"," 2"," 9","203","241"," 63","122"," 3"," 1","1122","1034"," 21"," 39","237","11"," 444","185"," 4","2156"," 60"," 11","  2","  9"," 448"," 206"," 242"," 185"," 63"," 122"," 237"," 98"," 139"," 2156","1122","1034","2010","2009","Tufts University","Full-time students, Undergraduate, Other degree/certifcate-seeking, Continuing","Full-time  undergraduate, other degree/certifcate-seeking, continuing","Full-time","Undergraduate"
"168148","41","28","2","4","  22","  18",,,,,,,,,,," 104"," 220","  341","  514","  40",,,,,," 324","  855","  7"," 16"," 1"," 1"," 28"," 28"," 11"," 12"," 0"," 1"," 167"," 218","  1","  0"," 23"," 2","  56"," 23"," 1"," 385","  1","  2","  1","  1","  57","  28","  29","  23"," 11","  12","  23","  7","  16","  385"," 167"," 218","2010","2009","Tufts University","Part-time students total","Total part-time","Part-time","All students"
"168148","42","22","2","1","   3","   0",,,,,,,,,,,"  10","  11","   24","   29","   3",,,,,,"  21","   53","  0","  2"," 0"," 0","  3","  4","  0","  1"," 0"," 0","   7","  11","  1","  0","  2"," 0","   7","  1"," 0","  18","  1","  0","  0","  0","   7","   3","   4","   1","  0","   1","   2","  0","   2","   18","   7","  11","2010","2009","Tufts University","Part-time students, Undergraduate total","Total part-time undergraduates","Part-time","Undergraduate"
"168148","43","20","2","1","   3","   0",,,,,,,,,,,"   5","   1","   19","   18","   3",,,,,,"   6","   37","  0","  2"," 0"," 0","  3","  4","  0","  1"," 0"," 0","   7","  10","  1","  0","  2"," 0","   7","  1"," 0","  17","  1","  0","  0","  0","   7","   3","   4","   1","  0","   1","   2","  0","   2","   17","   7","  10","2010","2009","Tufts University","Part-time students, Undergraduate, Degree/certificate-seeking total","Part-time degree-seeking undergraduates, total","Part-time","Undergraduate"
"168148","44","15","2","1","   0","   0",,,,,,,,,,,"   0","   0","    1","    2","   0",,,,,,"   0","    3","  0","  1"," 0"," 0","  0","  1","  0","  0"," 0"," 0","   1","   0","  0","  0","  1"," 0","   1","  0"," 0","   1","  0","  0","  0","  0","   1","   0","   1","   0","  0","   0","   1","  0","   1","    1","   1","   0","2010","2009","Tufts University","Part-time students, Undergraduate, Degree/certificate-seeking, First-time","Part-time, first-time, first-year, degree-seeking undergraduates","Part-time","Undergraduate"
"168148","45","99","2","1","   3","   0",,,,,,,,,,,"   5","   1","   18","   16","   3",,,,,,"   6","   34","  0","  1"," 0"," 0","  3","  3","  0","  1"," 0"," 0","   6","  10","  1","  0","  1"," 0","   6","  1"," 0","  16","  1","  0","  0","  0","   6","   3","   3","   1","  0","   1","   1","  0","   1","   16","   6","  10","2010","2009","Tufts University","Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Generated record not on original survey","Part-time","Undergraduate"
"168148","51","21","2","1","   0","   0",,,,,,,,,,,"   5","  10","    5","   11","   0",,,,,,"  15","   16","  0","  0"," 0"," 0","  0","  0","  0","  0"," 0"," 0","   0","   1","  0","  0","  0"," 0","   0","  0"," 0","   1","  0","  0","  0","  0","   0","   0","   0","   0","  0","   0","   0","  0","   0","    1","   0","   1","2010","2009","Tufts University","Part-time students, Undergraduate, Non-degree/certificate-seeking","Part-time nondegree-seeking undergraduates","Part-time","Undergraduate"
"168148","52","25","2","3","  19","  18",,,,,,,,,,,"  94"," 209","  317","  485","  37",,,,,," 303","  802","  7"," 14"," 1"," 1"," 25"," 24"," 11"," 11"," 0"," 1"," 160"," 207","  0","  0"," 21"," 2","  49"," 22"," 1"," 367","  0","  2","  1","  1","  50","  25","  25","  22"," 11","  11","  21","  7","  14","  367"," 160"," 207","2010","2009","Tufts University","Part-time students, Graduate","Part-time graduates","Part-time","Graduate"
"168148","59","16","2","1","   0","   0",,,,,,,,,,,"   0","   0","    0","    1","   0",,,,,,"   0","    1","  0","  0"," 0"," 0","  0","  0","  0","  0"," 0"," 0","   0","   1","  0","  0","  0"," 0","   0","  0"," 0","   1","  0","  0","  0","  0","   0","   0","   0","   0","  0","   0","   0","  0","   0","    1","   0","   1","2010","2009","Tufts University","Part-time students, Undergraduate, Other degree/certifcate-seeking, Transfer-ins","Part-time undergraduate, other degree/certifcate-seeking, transfer-ins","Part-time","Undergraduate"
"168148","60","17","2","1","   3","   0",,,,,,,,,,,"   5","   1","   18","   15","   3",,,,,,"   6","   33","  0","  1"," 0"," 0","  3","  3","  0","  1"," 0"," 0","   6","   9","  1","  0","  1"," 0","   6","  1"," 0","  15","  1","  0","  0","  0","   6","   3","   3","   1","  0","   1","   1","  0","   1","   15","   6","   9","2010","2009","Tufts University","Part-time students, Undergraduate, Other degree/certifcate-seeking, Continuing","Part-time undergraduate, other degree/certifcate-seeking, continuing","Part-time","Undergraduate"
"179867","1","29","3","4"," 967"," 777","372"," 683"," 15"," 28"," 751"," 704","157"," 182","3787","3919"," 646"," 587"," 6695"," 6880","1744","1055"," 43","1455"," 339"," 7706","1233","13575",,,,,,,,,,,,,,,,,,,,,," 43"," 15"," 28","1455"," 751"," 704","1055","372"," 683"," 339","157"," 182"," 7706","3787","3919","2010","2009","Washington University in St Louis","All students total","Total enrollment","All students","All students"
"179867","2","99","3","1"," 217"," 199","245"," 444","  3","  6"," 489"," 426"," 75"," 109","2086","2091"," 326"," 330"," 3441"," 3605"," 416"," 689","  9"," 915"," 184"," 4177"," 656"," 7046",,,,,,,,,,,,,,,,,,,,,,"  9","  3","  6"," 915"," 489"," 426"," 689","245"," 444"," 184"," 75"," 109"," 4177","2086","2091","2010","2009","Washington University in St Louis","All students, Undergraduate total","Generated record not on original survey","All students","Undergraduate"
"179867","3","99","3","1"," 186"," 173","226"," 379","  3","  5"," 475"," 405"," 71","  96","1951","1853"," 307"," 306"," 3219"," 3217"," 359"," 605","  8"," 880"," 167"," 3804"," 613"," 6436",,,,,,,,,,,,,,,,,,,,,,"  8","  3","  5"," 880"," 475"," 405"," 605","226"," 379"," 167"," 71","  96"," 3804","1951","1853","2010","2009","Washington University in St Louis","All students, Undergraduate, Degree/certificate-seeking total","Generated record not on original survey","All students","Undergraduate"
"179867","4","99","3","1","  73","  49"," 47","  72","  1","  1"," 138"," 112"," 13","  19"," 439"," 414","  71","  61","  782","  728"," 122"," 119","  2"," 250","  32","  853"," 132"," 1510",,,,,,,,,,,,,,,,,,,,,,"  2","  1","  1"," 250"," 138"," 112"," 119"," 47","  72","  32"," 13","  19","  853"," 439"," 414","2010","2009","Washington University in St Louis","All students, Undergraduate, Degree/certificate-seeking, First-time","Generated record not on original survey","All students","Undergraduate"
"179867","5","99","3","1"," 113"," 124","179"," 307","  2","  4"," 337"," 293"," 58","  77","1512","1439"," 236"," 245"," 2437"," 2489"," 237"," 486","  6"," 630"," 135"," 2951"," 481"," 4926",,,,,,,,,,,,,,,,,,,,,,"  6","  2","  4"," 630"," 337"," 293"," 486","179"," 307"," 135"," 58","  77"," 2951","1512","1439","2010","2009","Washington University in St Louis","All students, Undergraduate, Other degree/certificate-seeking","Generated record not on original survey","All students","Undergraduate"
"179867","11","99","3","1","  31","  26"," 19","  65","  0","  1","  14","  21","  4","  13"," 135"," 238","  19","  24","  222","  388","  57","  84","  1","  35","  17","  373","  43","  610",,,,,,,,,,,,,,,,,,,,,,"  1","  0","  1","  35","  14","  21","  84"," 19","  65","  17","  4","  13","  373"," 135"," 238","2010","2009","Washington University in St Louis","All students, Undergraduate, Non-degree/certificate-seeking","Generated record not on original survey","All students","Undergraduate"
"179867","12","99","3","3"," 750"," 578","127"," 239"," 12"," 22"," 262"," 278"," 82","  73","1701","1828"," 320"," 257"," 3254"," 3275","1328"," 366"," 34"," 540"," 155"," 3529"," 577"," 6529",,,,,,,,,,,,,,,,,,,,,," 34"," 12"," 22"," 540"," 262"," 278"," 366","127"," 239"," 155"," 82","  73"," 3529","1701","1828","2010","2009","Washington University in St Louis","All students, Graduate","Generated record not on original survey","All students","Graduate"
